text1,text2,score
It is cloudy today,I am scared,0.24
I am learning something new,I am cleaning my room,0.49
It is windy today,The weather is hot,0.89
It is humid today,I am coding a project,0.12
I am learning something new,The food tastes great,0.74
It is sunny today,I am learning something new,0.18
I am sad,I am cooking dinner,0.48
The computer is running,The food tastes great,0.66
I am cooking dinner,It is raining today,0.22
The computer is running,I am going to the gym,0.48
I am tired,I feel nervous,0.55
I am watching a movie,The movie was boring,0.09
I am coding a project,I am sad,0.26
I am sad,The weather is cold,0.05
I am reading a book,I am learning something new,0.36
I feel excited,I am tired,0.62
It is sunny today,It is sunny today,0.59
I am cleaning my room,I am happy,0.49
The computer is running,The bed is comfortable,0.64
I am cleaning my room,I am studying for exams,0.75
It is humid today,The movie was boring,0.47
I feel nervous,I am feeling great,0.77
I am cooking dinner,I am sad,0.34
I am watching a movie,I am playing football,0.93
I am happy,I am a bit upset,0.5
It is humid today,It is humid today,0.98
I am a bit upset,It is raining today,0.07
The movie was boring,It is humid today,0.26
I am cleaning my room,I am reading a book,0.87
I am studying for exams,I am cleaning my room,0.54
It is cloudy today,I love listening to music,0.41
It is humid today,It is raining today,0.74
It is raining today,I am cooking dinner,0.03
I am scared,I am feeling great,0.54
I am cleaning my room,The bed is comfortable,0.45
It might snow today,It is sunny today,0.81
I am tired,I am cleaning my room,0.32
It is humid today,I am reading a book,0.13
I am learning something new,I am learning something new,0.97
I love listening to music,The movie was boring,0.95
The movie was boring,The food tastes great,0.87
I feel excited,I am scared,0.55
It is raining today,It is humid today,0.62
I love listening to music,I am coding a project,0.05
It is raining today,It is humid today,0.59
I am watching a movie,I am cleaning my room,0.94
I am scared,I feel nervous,0.94
The bed is comfortable,I am studying for exams,0.47
I am sad,I am scared,0.73
I feel excited,I love listening to music,0.35
The food tastes great,I am learning something new,0.63
I feel nervous,I love listening to music,0.44
I am reading a book,I am learning something new,0.49
I am coding a project,I am watching a movie,0.92
I am learning something new,I am reading a book,0.43
I am feeling great,I am a bit upset,0.57
The food tastes great,The movie was boring,0.69
The computer is running,I am happy,0.43
The weather is hot,It is cloudy today,0.84
I am cleaning my room,I am coding a project,0.57
I am feeling great,The food tastes great,0.02
It is cloudy today,It is sunny today,0.57
I am going to the gym,I am going to the gym,0.93
I love listening to music,I feel excited,0.07
The bed is comfortable,I love listening to music,0.84
I am cooking dinner,I am going to the gym,0.97
The weather is hot,The bed is comfortable,0.31
I love listening to music,I love listening to music,0.52
I am a bit upset,I am going to the gym,0.42
I am reading a book,I am cooking dinner,0.92
I am scared,I am sad,0.61
I am going to the gym,I am cleaning my room,0.62
It is sunny today,I am playing football,0.22
I am scared,I am reading a book,0.12
I feel excited,I feel nervous,0.74
I am feeling great,I am feeling great,0.64
I am watching a movie,I am a bit upset,0.41
I am cooking dinner,I am playing football,0.58
It is raining today,It is raining today,0.61
The weather is hot,The weather is hot,0.57
The weather is hot,It is sunny today,0.52
It is cloudy today,The weather is cold,0.57
I am cooking dinner,The bed is comfortable,0.32
The bed is comfortable,It is sunny today,0.33
The weather is cold,I am happy,0.49
It might snow today,I am cooking dinner,0.03
I am learning something new,I am going to the gym,0.23
The bed is comfortable,I am tired,0.08
I feel excited,It is cloudy today,0.36
The movie was boring,I am a bit upset,0.38
I am coding a project,I love listening to music,0.01
I am cleaning my room,The bed is comfortable,0.36
It is raining today,I am sad,0.02
I am coding a project,I am studying for exams,0.56
The food tastes great,The movie was boring,0.53
I am scared,I am scared,0.64
I am a bit upset,I am learning something new,0.04
It is humid today,The computer is running,0.23
I feel excited,I am a bit upset,0.99
I am happy,The bed is comfortable,0.14
The bed is comfortable,The bed is comfortable,0.68
It is humid today,I love listening to music,0.22
The movie was boring,The weather is hot,0.29
I feel excited,It is humid today,0.46
I am cleaning my room,I feel nervous,0.45
The weather is cold,I am tired,0.21
I am studying for exams,I am cooking dinner,0.92
It is humid today,I am playing football,0.26
I am learning something new,The movie was boring,0.96
The food tastes great,The food tastes great,0.97
The food tastes great,It might snow today,0.36
I am happy,The food tastes great,0.36
The computer is running,The computer is running,0.84
I am playing football,I am playing football,0.98
I am happy,I am reading a book,0.11
I feel excited,The weather is cold,0.47
The weather is cold,It is humid today,0.57
I am coding a project,I am playing football,0.99
I am sad,I feel excited,0.96
The food tastes great,The bed is comfortable,0.73
I am learning something new,I am a bit upset,0.24
I am feeling great,I am happy,0.66
It might snow today,I feel excited,0.27
I am playing football,I am watching a movie,0.66
I feel excited,I am feeling great,0.63
The food tastes great,The computer is running,0.59
I am happy,I am tired,0.72
The computer is running,I am sad,0.27
I am tired,I am watching a movie,0.14
I am studying for exams,I am reading a book,0.65
I am studying for exams,The movie was boring,0.25
I am tired,I feel excited,0.52
I am feeling great,I am scared,0.81
I am feeling great,I am coding a project,0.1
I am studying for exams,The weather is hot,0.1
I am reading a book,I am cleaning my room,0.7
I am reading a book,I love listening to music,0.41
I am studying for exams,I am playing football,0.99
The weather is cold,It is raining today,0.94
I am cleaning my room,I feel excited,0.32
I feel nervous,The movie was boring,0.15
It is humid today,It is humid today,0.6
The weather is hot,It is humid today,0.98
I am coding a project,I am coding a project,0.78
I am happy,It is raining today,0.4
I am learning something new,It is cloudy today,0.48
I am feeling great,I feel nervous,0.63
The weather is cold,It is humid today,0.97
I am sad,The computer is running,0.46
I am watching a movie,I am studying for exams,0.72
I am feeling great,The weather is hot,0.41
I am scared,It is raining today,0.12
I am cooking dinner,The food tastes great,0.48
I am coding a project,It is windy today,0.35
The movie was boring,The food tastes great,0.66
I am a bit upset,I am a bit upset,0.91
I am reading a book,I feel nervous,0.16
It is sunny today,The weather is hot,0.52
The bed is comfortable,The computer is running,0.92
The food tastes great,The food tastes great,0.88
I love listening to music,I am cleaning my room,0.28
It is cloudy today,It might snow today,0.68
I am feeling great,I am scared,0.66
I am learning something new,The movie was boring,0.81
I am coding a project,I am watching a movie,0.81
I am watching a movie,It is cloudy today,0.15
I am going to the gym,I am studying for exams,0.98
The movie was boring,The movie was boring,0.54
The movie was boring,I am watching a movie,0.25
I love listening to music,It is humid today,0.39
I am reading a book,The bed is comfortable,0.29
It is humid today,The weather is cold,0.66
The bed is comfortable,I am a bit upset,0.04
It might snow today,I am happy,0.46
I feel excited,I feel excited,0.88
The movie was boring,I am feeling great,0.45
I am going to the gym,I am going to the gym,0.89
I am a bit upset,It is humid today,0.36
I am sad,I am a bit upset,0.68
The food tastes great,The food tastes great,0.55
It might snow today,I am happy,0.16
I love listening to music,The weather is cold,0.19
I am a bit upset,The weather is cold,0.08
I am scared,The movie was boring,0.25
The food tastes great,I am sad,0.25
I am studying for exams,I am coding a project,0.54
I am playing football,I feel nervous,0.46
It is raining today,It is humid today,0.78
I am playing football,I am going to the gym,0.72
I am sad,I am watching a movie,0.32
The food tastes great,The weather is cold,0.08
I am scared,I feel excited,0.97
The weather is hot,It is humid today,0.96
The food tastes great,I am cleaning my room,0.04
I am studying for exams,It is raining today,0.48
I am sad,I feel nervous,0.87
I am learning something new,I am studying for exams,0.05
I am a bit upset,I love listening to music,0.36
The bed is comfortable,The computer is running,0.53
I am cooking dinner,It might snow today,0.41
I am watching a movie,I am cooking dinner,0.85
The weather is hot,I am feeling great,0.28
It is humid today,I am feeling great,0.15
It might snow today,It is cloudy today,0.62
It might snow today,The bed is comfortable,0.24
It might snow today,It is windy today,0.63
I am studying for exams,The weather is cold,0.14
I am tired,The movie was boring,0.09
I am cooking dinner,I love listening to music,0.41
I am watching a movie,I am tired,0.05
The weather is cold,I am reading a book,0.39
I am feeling great,I am a bit upset,0.55
I am a bit upset,I am scared,0.55
The weather is hot,I am coding a project,0.5
I am learning something new,The movie was boring,0.66
I am a bit upset,I am a bit upset,0.66
I am cooking dinner,It might snow today,0.38
It is windy today,I am going to the gym,0.31
I am learning something new,The movie was boring,0.67
I am watching a movie,I am cooking dinner,0.9
It is sunny today,The computer is running,0.33
It is sunny today,I am happy,0.39
The computer is running,I am reading a book,0.07
It is windy today,I am sad,0.3
I am learning something new,I am learning something new,0.68
I am learning something new,It is cloudy today,0.05
I am tired,I am tired,0.59
I am cleaning my room,I am going to the gym,0.7
The bed is comfortable,I am cooking dinner,0.03
The weather is hot,The computer is running,0.23
It is windy today,I feel excited,0.27
The bed is comfortable,The bed is comfortable,0.73
I am happy,I am scared,0.89
I am happy,I am tired,0.98
It might snow today,It might snow today,0.52
It is raining today,I feel nervous,0.26
I feel nervous,I am going to the gym,0.38
The computer is running,The movie was boring,0.99
I feel excited,I am cooking dinner,0.48
The weather is cold,It might snow today,0.74
I am happy,I feel nervous,0.71
I am cooking dinner,I feel excited,0.02
It is humid today,It might snow today,0.62
The computer is running,I am learning something new,0.88
I am scared,The computer is running,0.11
I am reading a book,I am watching a movie,0.92
It is windy today,I am studying for exams,0.39
The food tastes great,I love listening to music,0.98
The bed is comfortable,The food tastes great,0.86
It is humid today,I am scared,0.08
I am reading a book,It is humid today,0.49
I am feeling great,I am going to the gym,0.22
I am coding a project,I am cleaning my room,0.8
I feel excited,I am coding a project,0.05
I love listening to music,The movie was boring,0.88
It is sunny today,I am cleaning my room,0.17
The weather is cold,It is sunny today,0.97
I am studying for exams,The weather is cold,0.04
I am happy,I am happy,0.65
It might snow today,I am studying for exams,0.15
The weather is cold,I love listening to music,0.13
The weather is cold,I am studying for exams,0.26
I am playing football,I am coding a project,0.66
It is cloudy today,The computer is running,0.13
It is raining today,I am tired,0.4
I am scared,I am reading a book,0.4
It might snow today,I am playing football,0.28
It is raining today,I am happy,0.08
The computer is running,The computer is running,0.69
It is humid today,It is windy today,0.99
The weather is cold,I love listening to music,0.3
It is cloudy today,It might snow today,0.6
I am a bit upset,The food tastes great,0.23
I am watching a movie,I am going to the gym,0.61
I love listening to music,I am playing football,0.25
The weather is cold,It might snow today,0.97
I am feeling great,The food tastes great,0.19
I am feeling great,I am coding a project,0.2
It is raining today,It is cloudy today,0.59
The weather is cold,I am going to the gym,0.33
The weather is cold,I am feeling great,0.3
I am happy,I am happy,0.86
I am studying for exams,I am studying for exams,0.99
The weather is hot,I am a bit upset,0.5
It is humid today,The weather is hot,0.75
I am a bit upset,I feel excited,0.56
I am watching a movie,The computer is running,0.5
I am learning something new,I am happy,0.23
I am scared,I love listening to music,0.14
I love listening to music,It is humid today,0.42
It is sunny today,I am happy,0.47
I am scared,I feel nervous,0.7
I am happy,I am feeling great,0.6
I am sad,I am going to the gym,0.45
It is raining today,I am feeling great,0.18
It is raining today,I love listening to music,0.4
The bed is comfortable,I am studying for exams,0.2
The weather is cold,The weather is cold,0.56
It is cloudy today,It is sunny today,0.88
I am watching a movie,The computer is running,0.13
The bed is comfortable,I love listening to music,0.79
The bed is comfortable,I feel excited,0.35
I feel nervous,I feel excited,0.56
I feel excited,I am happy,0.82
The weather is cold,I am cooking dinner,0.0
The computer is running,I am watching a movie,0.13
I feel excited,I am scared,0.6
The bed is comfortable,The movie was boring,0.61
I am cooking dinner,It is raining today,0.39
The weather is cold,I am cleaning my room,0.07
It might snow today,It is humid today,0.73
I am watching a movie,I am playing football,0.5
I love listening to music,I am going to the gym,0.42
I am going to the gym,The food tastes great,0.44
I am happy,I love listening to music,0.16
I feel nervous,I am cleaning my room,0.12
The weather is cold,I am watching a movie,0.21
The bed is comfortable,The movie was boring,0.92
The movie was boring,The movie was boring,0.5
The computer is running,The movie was boring,0.63
It is sunny today,It is sunny today,0.85
It is windy today,I am feeling great,0.28
It is raining today,The weather is hot,0.85
It is sunny today,I am studying for exams,0.15
I am sad,It might snow today,0.08
I am tired,I am reading a book,0.42
I am coding a project,I am coding a project,0.62
The food tastes great,I am learning something new,0.73
I am reading a book,The food tastes great,0.2
I am playing football,I am scared,0.32
I am coding a project,I am coding a project,0.89
It is raining today,It is cloudy today,0.73
I love listening to music,I am cooking dinner,0.46
I am sad,I am coding a project,0.07
I am tired,I love listening to music,0.14
I am tired,I am watching a movie,0.35
It is humid today,It is sunny today,0.67
I am feeling great,I am studying for exams,0.28
The food tastes great,The movie was boring,0.71
I am tired,I am happy,0.76
It is cloudy today,I am happy,0.25
I am watching a movie,I am reading a book,0.95
I am watching a movie,I feel nervous,0.1
I am tired,I am tired,0.71
The food tastes great,It is windy today,0.34
The computer is running,I am learning something new,0.59
I feel nervous,I am a bit upset,0.71
The movie was boring,The bed is comfortable,0.61
It might snow today,It is sunny today,0.62
It is sunny today,It is windy today,0.95
It is sunny today,I love listening to music,0.24
I am sad,I love listening to music,0.25
I love listening to music,I feel excited,0.25
I am sad,I feel excited,0.76
It is sunny today,It is sunny today,0.77
I am reading a book,I am cooking dinner,0.84
I am scared,It is windy today,0.16
I am a bit upset,I am sad,1.0
The weather is cold,The weather is hot,0.78
I am cleaning my room,I am watching a movie,0.96
It is cloudy today,I am going to the gym,0.04
I am feeling great,It is cloudy today,0.48
It is humid today,I feel excited,0.24
I am tired,The computer is running,0.27
I am going to the gym,It is windy today,0.12
I am a bit upset,It is windy today,0.48
It is humid today,It is cloudy today,0.8
The weather is cold,I am a bit upset,0.42
I am sad,I am a bit upset,0.51
It is cloudy today,It might snow today,0.82
The movie was boring,I feel excited,0.23
I am feeling great,It is cloudy today,0.14
I am reading a book,I am playing football,0.94
It is sunny today,I am studying for exams,0.06
The food tastes great,The computer is running,0.5
It might snow today,I am going to the gym,0.08
It is cloudy today,It is sunny today,0.72
I am playing football,I am coding a project,0.8
It is raining today,I am reading a book,0.38
The computer is running,I am scared,0.34
I am happy,I am sad,0.74
I am scared,I feel nervous,0.7
I am cleaning my room,I am reading a book,0.56
The weather is cold,It is cloudy today,0.79
The movie was boring,I am learning something new,0.74
I am going to the gym,The weather is hot,0.49
The weather is cold,I feel nervous,0.0
It is windy today,The food tastes great,0.31
It is windy today,I am scared,0.3
It is humid today,It might snow today,0.78
I am sad,I feel nervous,0.52
The weather is cold,I am scared,0.28
I am a bit upset,I am feeling great,0.76
It is sunny today,I am a bit upset,0.38
It is sunny today,The weather is hot,0.85
I am learning something new,The bed is comfortable,0.9
I am tired,It might snow today,0.25
It is sunny today,I am happy,0.16
I am cleaning my room,I am coding a project,0.79
I am sad,It is windy today,0.26
The computer is running,It is sunny today,0.21
The bed is comfortable,I am playing football,0.34
I am feeling great,I am feeling great,0.92
The food tastes great,The food tastes great,0.95
I am cooking dinner,I am going to the gym,0.65
It might snow today,It is cloudy today,0.71
I am playing football,I am playing football,0.67
I am feeling great,I am happy,0.73
It is cloudy today,The movie was boring,0.37
I am sad,I love listening to music,0.22
I am going to the gym,I am studying for exams,0.56
I am cleaning my room,I am reading a book,0.59
The computer is running,The weather is cold,0.46
The computer is running,It might snow today,0.32
The movie was boring,I am learning something new,0.8
The weather is hot,I am learning something new,0.49
It is windy today,The weather is hot,0.5
I am scared,It is cloudy today,0.42
The bed is comfortable,I am going to the gym,0.01
I am scared,I am studying for exams,0.34
I am tired,I am feeling great,0.74
It is humid today,It is raining today,0.57
I am feeling great,I love listening to music,0.07
It is sunny today,It is sunny today,0.7
The food tastes great,The movie was boring,0.76
I am going to the gym,The weather is cold,0.06
It might snow today,I am coding a project,0.35
It is cloudy today,It is raining today,0.86
The food tastes great,The bed is comfortable,0.53
The computer is running,It is windy today,0.44
I am cooking dinner,I am cooking dinner,0.55
The computer is running,I love listening to music,0.5
I am going to the gym,I am cleaning my room,0.94
The weather is hot,It is windy today,0.92
It is sunny today,I feel nervous,0.08
I feel nervous,I am feeling great,0.79
I am scared,The movie was boring,0.44
It is raining today,I am watching a movie,0.07
I am learning something new,I love listening to music,0.69
The weather is hot,I am reading a book,0.19
I am sad,I am scared,0.96
The food tastes great,The computer is running,0.89
I am learning something new,The movie was boring,0.78
I am scared,I am happy,0.73
I am going to the gym,I am cooking dinner,0.81
The computer is running,I love listening to music,0.71
I am cooking dinner,I am playing football,0.8
I love listening to music,I feel nervous,0.44
I am cooking dinner,I am cooking dinner,0.83
I love listening to music,The movie was boring,0.69
The food tastes great,The computer is running,0.71
I feel nervous,I am studying for exams,0.39
I am coding a project,I am scared,0.37
The food tastes great,The movie was boring,0.83
I am learning something new,The computer is running,0.78
I am studying for exams,The weather is cold,0.02
The movie was boring,The bed is comfortable,0.59
I am cleaning my room,I am cooking dinner,0.63
It is sunny today,I am scared,0.5
I am coding a project,I am cleaning my room,0.52
